"Esco_Level_1","Esco_Level_2","REGION0","Esco_code","Popn","formal","non-formal","on_job"
"Clerical support workers","Customer services clerks","CZ",1,74168.99,8.4132644065,62.3760135012,56.9660662985
"Clerical support workers","General and keyboard clerks","CZ",1,157291.9,11.8250295311,55.0251784213,43.8436786334
"Clerical support workers","Numerical and material recording clerks","CZ",1,254758.19,13.1965365195,66.8101419559,60.7567315525
"Clerical support workers","Other clerical support workers","CZ",1,54176.09,7.2781306772,58.4329651362,57.3017485684
"Clerical support workers","Customer services clerks","DE",1,552304.21,9.4828738943,63.601705368,48.60734597
"Clerical support workers","General and keyboard clerks","DE",1,1777171.7,11.9538029942,48.930347143,34.1351208852
"Clerical support workers","Numerical and material recording clerks","DE",1,1897094.11,9.0449472875,64.477370389,48.1612330488
"Clerical support workers","Other clerical support workers","DE",1,321977.63,7.3815674429,45.1827297086,30.9692503762
"Clerical support workers","Customer services clerks","IE",1,61359.83,25.8631571045,65.9442382236,54.601772384
"Clerical support workers","General and keyboard clerks","IE",1,27945.5,10.0424202295,37.4934618415,21.3488256595
"Clerical support workers","Numerical and material recording clerks","IE",1,49987.16,23.5921342881,55.035505638,40.6629466132
"Clerical support workers","Other clerical support workers","IE",1,60326.86,13.7708507235,53.9942028111,41.9332433146
"Clerical support workers","Customer services clerks","IT",1,580055.39,11.4608830672,35.6915070787,28.7414981881
"Clerical support workers","General and keyboard clerks","IT",1,501184.1,6.6367747296,22.1291157938,17.0565550559
"Clerical support workers","Numerical and material recording clerks","IT",1,694698.96,3.7294890397,38.0704241268,25.4586070166
"Clerical support workers","Other clerical support workers","IT",1,218881.76,4.8688695426,32.3852151085,23.2187801579
"Clerical support workers","Customer services clerks","UK",1,732497.45,21.6474231982,63.5782603141,56.8525872077
"Clerical support workers","General and keyboard clerks","UK",1,399083.9,16.6585542504,59.1207319245,43.0316733595
"Clerical support workers","Numerical and material recording clerks","UK",1,759375.11,24.7426781695,51.2826939579,40.1528883989
"Clerical support workers","Other clerical support workers","UK",1,1106050.36,17.6875458483,58.2538763586,50.2641106414
"Craft and related trades workers","Building and related trades workers, excluding electricians","CZ",2,207197.82,0,41.3160296186,36.3804905442
"Craft and related trades workers","Electrical and electronic trades workers","CZ",2,79270.42,8.4885736867,45.3244639726,43.6453776801
"Craft and related trades workers","Food processing, wood working, garment and other craft and related trades workers","CZ",2,131472.19,4.235099763,38.7217313822,26.6806442956
"Craft and related trades workers","Handicraft and printing workers","CZ",2,39519.244,0,44.6746706476,44.6746706476
"Craft and related trades workers","Metal, machinery and related trades workers","CZ",2,360416.39,4.1199096787,56.7038791774,53.3528524383
"Craft and related trades workers","Building and related trades workers, excluding electricians","DE",2,1739953.01,7.8887184986,33.3611639584,24.2932201245
"Craft and related trades workers","Electrical and electronic trades workers","DE",2,581069.12,9.6000781663,57.9388405964,55.2543293597
"Craft and related trades workers","Food processing, wood working, garment and other craft and related trades workers","DE",2,815441.8,6.4271934787,52.2150827501,37.9165590833
"Craft and related trades workers","Handicraft and printing workers","DE",2,310670.908,16.1181521163,34.2514909798,19.8647096086
"Craft and related trades workers","Metal, machinery and related trades workers","DE",2,1793475.28,10.9003222901,49.0839880685,41.9440722453
"Craft and related trades workers","Building and related trades workers, excluding electricians","IE",2,61307.57,9.4123920536,44.6055808823,32.7254309209
"Craft and related trades workers","Electrical and electronic trades workers","IE",2,22577.34,16.9915010952,57.2180924921,41.4411073205
"Craft and related trades workers","Food processing, wood working, garment and other craft and related trades workers","IE",2,43335.73,9.0494646364,56.8450840187,43.0076689169
"Craft and related trades workers","Handicraft and printing workers","IE",2,8630.058,14.2635143894,31.5492860241,31.5492860241
"Craft and related trades workers","Metal, machinery and related trades workers","IE",2,48901.73,7.0737271936,46.7000204799,38.5247278745
"Craft and related trades workers","Building and related trades workers, excluding electricians","IT",2,1320295.6,0,23.2077036195,17.6150971439
"Craft and related trades workers","Electrical and electronic trades workers","IT",2,246678.49,0,19.2269585237,19.2269585237
"Craft and related trades workers","Food processing, wood working, garment and other craft and related trades workers","IT",2,737718.46,0,24.7492904155,23.0266510316
"Craft and related trades workers","Handicraft and printing workers","IT",2,157860.99,0,5.4740627431,5.4740627431
"Craft and related trades workers","Metal, machinery and related trades workers","IT",2,916945.01,2.3269197568,22.3792061064,19.3298986334
"Craft and related trades workers","Building and related trades workers, excluding electricians","UK",2,779952.74,17.3578491061,43.0214148024,32.0431948099
"Craft and related trades workers","Electrical and electronic trades workers","UK",2,429077.23,18.8193360499,57.1929420077,42.745182419
"Craft and related trades workers","Food processing, wood working, garment and other craft and related trades workers","UK",2,121432.72,7.7768468538,41.3546123532,18.7055182975
"Craft and related trades workers","Handicraft and printing workers","UK",2,147850.27,2.7862789331,47.3609641773,38.3978310984
"Craft and related trades workers","Metal, machinery and related trades workers","UK",2,587901.33,9.159958316,52.6099527456,42.1933937655
"Elementary occupations","Agricultural, forestry and fishery labourers","CZ",3,29332.028,6.685972921,50.0497118741,43.3637389531
"Elementary occupations","Cleaners and helpers","CZ",3,88831.94,0.9082533848,32.6212253132,30.8382281397
"Elementary occupations","Food preparation assistants","CZ",3,26452.85,0.7828655186,17.2574217735,12.196297419
"Elementary occupations","Labourers in mining, construction, manufacturing and transport","CZ",3,117381.24,2.9308428934,31.2155526085,27.8953385836
"Elementary occupations","Refuse workers and other elementary workers","CZ",3,39778.82,3.5051149889,44.8482555328,43.5053691814
"Elementary occupations","Street and related sales and service workers","CZ",3,0,0,0,0
"Elementary occupations","Agricultural, forestry and fishery labourers","DE",3,66014.585,0,25.3596268014,25.3596268014
"Elementary occupations","Cleaners and helpers","DE",3,1064201.82,0.4812462807,7.7643574834,2.6321426977
"Elementary occupations","Food preparation assistants","DE",3,337028.7,19.0685829488,13.1317684419,5.9388661453
"Elementary occupations","Labourers in mining, construction, manufacturing and transport","DE",3,907093.79,14.1258535546,19.6202408078,11.639154299
"Elementary occupations","Refuse workers and other elementary workers","DE",3,576646.88,12.3834103379,22.5414688942,12.901912614
"Elementary occupations","Street and related sales and service workers","DE",3,0,0,0,0
"Elementary occupations","Agricultural, forestry and fishery labourers","IE",3,8445.036,24.4829464718,6.0437933497,0
